Date : 2024-10-19 23:35:17
Directory : c:\Users\admin\source\repos\Silerium_laravel
Total : 262 files,  31961 codes, 17357 comments, 1663 blanks, all 50981 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\admin\source\repos\Silerium_laravel\app\Models\Seller.php                                                        | PHP        |         38 |          4 |          9 |         51 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Models\Subcategory.php                                                   | PHP        |         22 |          3 |          7 |         32 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Models\User.php                                                          | PHP        |        110 |         20 |         11 |        141 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Providers\AppServiceProvider.php                                         | PHP        |         14 |         11 |          5 |         30 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Providers\AuthServiceProvider.php                                        | PHP        |         32 |         11 |          8 |         51 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Providers\BroadcastServiceProvider.php                                   | PHP        |         12 |          5 |          5 |         22 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Providers\CheckUserRoleProvider.php                                      | PHP        |         16 |         11 |          5 |         32 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Providers\ConvertCurrencyServiceProvider.php                             | PHP        |         16 |         10 |          5 |         31 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Providers\EmailValidationProvider.php                                    | PHP        |         16 |         10 |          5 |         31 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Providers\EventServiceProvider.php                                       | PHP        |         21 |         16 |          6 |         43 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Providers\PhoneValidationProvider.php                                    | PHP        |         17 |         10 |          6 |         33 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Providers\ProductCartServiceProvider.php                                 | PHP        |         16 |         11 |          5 |         32 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Providers\RouteServiceProvider.php                                       | PHP        |         58 |         17 |          6 |         81 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Services\ChangeCartAmount.php                                            | PHP        |         19 |          0 |          2 |         21 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Services\CheckUserRoleService.php                                        | PHP        |         20 |          0 |          3 |         23 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Services\ConvertCurrencyService.php                                      | PHP        |         10 |          4 |          0 |         14 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Services\DeleteClosedOrdersService.php                                   | PHP        |         14 |          0 |          4 |         18 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Services\MakeReviewService.php                                           | PHP        |         32 |          0 |          2 |         34 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Services\ManualPaginatorService.php                                      | PHP        |         12 |          0 |          3 |         15 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Services\OrderItemsService.php                                           | PHP        |         31 |          0 |          2 |         33 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Services\OrderService.php                                                | PHP        |         25 |          0 |          2 |         27 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Services\ProductCartService.php                                          | PHP        |         32 |          0 |          4 |         36 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Services\ProductService.php                                              | PHP        |         63 |          0 |          2 |         65 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Services\ReviewService.php                                               | PHP        |         45 |          0 |          2 |         47 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Services\SMSRU.php                                                       | PHP        |        174 |         84 |         45 |        303 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Services\SMSRUcallback.php                                               | PHP        |         10 |          9 |          5 |         24 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Services\UserService.php                                                 | PHP        |         31 |          0 |          2 |         33 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Services\ValidateEmailService.php                                        | PHP        |          1 |         38 |          6 |         45 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Services\ValidatePasswordHashService.php                                 | PHP        |         19 |          0 |          2 |         21 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Services\VerifyPhoneService.php                                          | PHP        |         31 |          0 |          5 |         36 |
| c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\APILayout.php                                            | PHP        |         13 |         11 |          5 |         29 |
| c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\AdminLayout.php                                          | PHP        |         13 |         11 |          5 |         29 |
| c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\ComponentsInputs\SearchForm\SearchFormCheckboxInputs.php | PHP        |          9 |          0 |          2 |         11 |
| c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\ComponentsInputs\SearchForm\SearchFormHiddenInputs.php   | PHP        |         18 |          0 |          4 |         22 |
| c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\ComponentsInputs\SearchForm\SearchFormInputs.php         | PHP        |         27 |          0 |          3 |         30 |
| c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\ComponentsInputs\SearchForm\SearchFormQueryInputs.php    | PHP        |         14 |          0 |          3 |         17 |
| c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\Error.php                                                | PHP        |         15 |         10 |          5 |         30 |
| c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\ErrorAjax.php                                            | PHP        |         13 |         10 |          6 |         29 |
| c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\FilterForm.php                                           | PHP        |         30 |         10 |          5 |         45 |
| c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\Layout.php                                               | PHP        |         13 |          0 |          5 |         18 |
| c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\Pagination.php                                           | PHP        |         15 |         10 |          5 |         30 |
| c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\SearchForm.php                                           | PHP        |         36 |         10 |          5 |         51 |
| c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\SellerLayout.php                                         | PHP        |         13 |         11 |          5 |         29 |
| c:\Users\admin\source\repos\Silerium_laravel\bootstrap\app.php                                                            | PHP        |         17 |         30 |          9 |         56 |
| c:\Users\admin\source\repos\Silerium_laravel\composer.json                                                                | JSON       |         72 |          0 |          1 |         73 |
| c:\Users\admin\source\repos\Silerium_laravel\composer.lock                                                                | JSON       |      9,968 |          0 |          1 |      9,969 |
| c:\Users\admin\source\repos\Silerium_laravel\config\app.php                                                               | PHP        |         65 |        136 |         34 |        235 |
| c:\Users\admin\source\repos\Silerium_laravel\config\auth.php                                                              | PHP        |         28 |         70 |         14 |        112 |
| c:\Users\admin\source\repos\Silerium_laravel\config\broadcasting.php                                                      | PHP        |         35 |         23 |         13 |         71 |
| c:\Users\admin\source\repos\Silerium_laravel\config\cache.php                                                             | PHP        |         58 |         34 |         19 |        111 |
| c:\Users\admin\source\repos\Silerium_laravel\config\cors.php                                                              | PHP        |         11 |         12 |         12 |         35 |
| c:\Users\admin\source\repos\Silerium_laravel\config\database.php                                                          | PHP        |         89 |         47 |         22 |        158 |
| c:\Users\admin\source\repos\Silerium_laravel\config\filesystems.php                                                       | PHP        |         48 |         32 |         15 |         95 |
| c:\Users\admin\source\repos\Silerium_laravel\config\hashing.php                                                           | PHP        |         12 |         32 |          9 |         53 |
| c:\Users\admin\source\repos\Silerium_laravel\config\logging.php                                                           | PHP        |         70 |         34 |         19 |        123 |
| c:\Users\admin\source\repos\Silerium_laravel\config\mail.php                                                              | PHP        |         53 |         47 |         19 |        119 |
| c:\Users\admin\source\repos\Silerium_laravel\config\queue.php                                                             | PHP        |         47 |         32 |         15 |         94 |
| c:\Users\admin\source\repos\Silerium_laravel\config\sanctum.php                                                           | PHP        |         15 |         41 |         12 |         68 |
| c:\Users\admin\source\repos\Silerium_laravel\config\services.php                                                          | PHP        |         17 |         11 |          7 |         35 |
| c:\Users\admin\source\repos\Silerium_laravel\config\session.php                                                           | PHP        |         22 |        147 |         33 |        202 |
| c:\Users\admin\source\repos\Silerium_laravel\config\view.php                                                              | PHP        |         10 |         20 |          7 |         37 |
| c:\Users\admin\source\repos\Silerium_laravel\database\factories\CategoryFactory.php                                       | PHP        |         14 |          8 |          4 |         26 |
| c:\Users\admin\source\repos\Silerium_laravel\database\factories\OrderFactory.php                                          | PHP        |         22 |          8 |          4 |         34 |
| c:\Users\admin\source\repos\Silerium_laravel\database\factories\ProductFactory.php                                        | PHP        |         27 |          8 |          4 |         39 |
| c:\Users\admin\source\repos\Silerium_laravel\database\factories\ProductImageFactory.php                                   | PHP        |         14 |          8 |          4 |         26 |
| c:\Users\admin\source\repos\Silerium_laravel\database\factories\ProductSpecificationsFactory.php                          | PHP        |         15 |          8 |          4 |         27 |
| c:\Users\admin\source\repos\Silerium_laravel\database\factories\ReviewFactory.php                                         | PHP        |         31 |          8 |          4 |         43 |
| c:\Users\admin\source\repos\Silerium_laravel\database\factories\ReviewsImagesFactory.php                                  | PHP        |         12 |          8 |          4 |         24 |
| c:\Users\admin\source\repos\Silerium_laravel\database\factories\SellerFactory.php                                         | PHP        |         27 |          8 |          4 |         39 |
| c:\Users\admin\source\repos\Silerium_laravel\database\factories\SubcategoryFactory.php                                    | PHP        |         15 |          8 |          4 |         27 |
| c:\Users\admin\source\repos\Silerium_laravel\database\factories\UserFactory.php                                           | PHP        |         41 |         13 |          5 |         59 |
| c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2024_07_28_104445_change_seller.php                      | PHP        |         27 |         10 |          4 |         41 |
| c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2024_07_28_121910_orders_live_time.php                   | PHP        |         22 |         10 |          4 |         36 |
