Date : 2023-09-29 17:08:26
Directory : c:\OSPanel\domains\silerium
Total : 135 files,  17002 codes, 1426 comments, 701 blanks, all 19129 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\OSPanel\domains\silerium\database\factories\ProductSpecificationsFactory.php                           | PHP        |         15 |          8 |          4 |         27 |
| c:\OSPanel\domains\silerium\database\factories\UserFactory.php                                            | PHP        |         23 |         13 |          5 |         41 |
| c:\OSPanel\domains\silerium\database\migrations\2014_10_12_000000_create_users_table.php                  | PHP        |         23 |         10 |          4 |         37 |
| c:\OSPanel\domains\silerium\database\migrations\2014_10_12_100000_create_password_resets_table.php        | PHP        |         19 |         10 |          4 |         33 |
| c:\OSPanel\domains\silerium\database\migrations\2019_08_19_000000_create_failed_jobs_table.php            | PHP        |         23 |         10 |          4 |         37 |
| c:\OSPanel\domains\silerium\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php | PHP        |         24 |         10 |          4 |         38 |
| c:\OSPanel\domains\silerium\database\migrations\2023_09_21_065918_category_table.php                      | PHP        |         20 |         10 |          4 |         34 |
| c:\OSPanel\domains\silerium\database\migrations\2023_09_21_073241_subcategory_table.php                   | PHP        |         19 |         11 |          4 |         34 |
| c:\OSPanel\domains\silerium\database\migrations\2023_09_21_073752_products_specs_table.php                | PHP        |         19 |         10 |          4 |         33 |
| c:\OSPanel\domains\silerium\database\migrations\2023_09_21_074216_product_table.php                       | PHP        |         24 |         10 |          4 |         38 |
| c:\OSPanel\domains\silerium\database\migrations\2023_09_21_075930_order_table.php                         | PHP        |         24 |         10 |          4 |         38 |
| c:\OSPanel\domains\silerium\database\migrations\2023_09_21_082113_alter_user_table.php                    | PHP        |         23 |         10 |          4 |         37 |
| c:\OSPanel\domains\silerium\database\migrations\2023_09_21_135800_product_images_table.php                | PHP        |         19 |         10 |          4 |         33 |
| c:\OSPanel\domains\silerium\database\migrations\2023_09_22_083505_product_popularity.php                  | PHP        |         19 |         10 |          4 |         33 |
| c:\OSPanel\domains\silerium\database\migrations\2023_09_25_145454_soft_delete_orders.php                  | PHP        |         19 |         10 |          4 |         33 |
| c:\OSPanel\domains\silerium\database\migrations\2023_09_26_114122_product_specification_relation.php      | PHP        |         18 |         10 |          4 |         32 |
| c:\OSPanel\domains\silerium\database\migrations\2023_09_26_140110_reviews.php                             | PHP        |         26 |         10 |          4 |         40 |
| c:\OSPanel\domains\silerium\database\migrations\2023_09_26_140803_reviews_images.php                      | PHP        |         19 |         10 |          4 |         33 |
| c:\OSPanel\domains\silerium\database\migrations\2023_09_26_144807_shopcart.php                            | PHP        |         13 |         12 |          4 |         29 |
| c:\OSPanel\domains\silerium\database\migrations\2023_09_26_145700_order_products.php                      | PHP        |         19 |         10 |          4 |         33 |
| c:\OSPanel\domains\silerium\database\migrations\2023_09_26_145712_order_users.php                         | PHP        |         18 |         10 |          4 |         32 |
| c:\OSPanel\domains\silerium\database\seeders\CategorySeeder.php                                           | PHP        |         34 |          5 |          4 |         43 |
| c:\OSPanel\domains\silerium\database\seeders\DatabaseSeeder.php                                           | PHP        |         15 |          6 |          4 |         25 |
| c:\OSPanel\domains\silerium\database\seeders\ProductSeeder.php                                            | PHP        |         22 |          5 |          4 |         31 |
| c:\OSPanel\domains\silerium\database\seeders\ProductSpecificationsSeeder.php                              | PHP        |         17 |          5 |          4 |         26 |
| c:\OSPanel\domains\silerium\database\seeders\SubcategorySeeder.php                                        | PHP        |         18 |          5 |          4 |         27 |
| c:\OSPanel\domains\silerium\lang\en\auth.php                                                              | PHP        |          6 |         10 |          5 |         21 |
| c:\OSPanel\domains\silerium\lang\en\pagination.php                                                        | PHP        |          5 |         10 |          5 |         20 |
| c:\OSPanel\domains\silerium\lang\en\passwords.php                                                         | PHP        |          8 |         10 |          5 |         23 |
| c:\OSPanel\domains\silerium\lang\en\validation.php                                                        | PHP        |        146 |         30 |          9 |        185 |
| c:\OSPanel\domains\silerium\lang\ru\http-statuses.php                                                     | PHP        |         82 |          0 |          3 |         85 |
| c:\OSPanel\domains\silerium\lang\ru\ru.json                                                               | JSON       |        179 |          0 |          1 |        180 |
| c:\OSPanel\domains\silerium\lang\ru\validation.php                                                        | PHP        |        259 |          0 |          5 |        264 |
| c:\OSPanel\domains\silerium\package-lock.json                                                             | JSON       |      3,267 |          0 |          1 |      3,268 |
| c:\OSPanel\domains\silerium\package.json                                                                  | JSON       |         25 |          0 |          1 |         26 |
| c:\OSPanel\domains\silerium\phpunit.xml                                                                   | XML        |         31 |          0 |          1 |         32 |
| c:\OSPanel\domains\silerium\postcss.config.js                                                             | JavaScript |         10 |          0 |          1 |         11 |
| c:\OSPanel\domains\silerium\public\css\site.css                                                           | CSS        |         72 |          0 |         17 |         89 |
| c:\OSPanel\domains\silerium\public\index.php                                                              | PHP        |         14 |         30 |         12 |         56 |
| c:\OSPanel\domains\silerium\resources\css\app.css                                                         | CSS        |          2 |          0 |          0 |          2 |
| c:\OSPanel\domains\silerium\resources\js\app.js                                                           | JavaScript |          8 |          0 |          0 |          8 |
| c:\OSPanel\domains\silerium\resources\js\bootstrap.js                                                     | JavaScript |          5 |         23 |          8 |         36 |
| c:\OSPanel\domains\silerium\resources\views\catalog\addtocart.blade.php                                   | PHP        |         41 |          0 |          3 |         44 |
| c:\OSPanel\domains\silerium\resources\views\catalog\product.blade.php                                     | PHP        |        135 |          0 |          2 |        137 |
| c:\OSPanel\domains\silerium\resources\views\catalog\products.blade.php                                    | PHP        |        235 |          1 |         11 |        247 |
| c:\OSPanel\domains\silerium\resources\views\categories\index.blade.php                                    | PHP        |         26 |          0 |          1 |         27 |
| c:\OSPanel\domains\silerium\resources\views\categories\subcategories.blade.php                            | PHP        |         29 |          0 |          3 |         32 |
| c:\OSPanel\domains\silerium\resources\views\components\error.blade.php                                    | PHP        |          3 |          0 |          0 |          3 |
| c:\OSPanel\domains\silerium\resources\views\components\layout.blade.php                                   | PHP        |        110 |          0 |          4 |        114 |
| c:\OSPanel\domains\silerium\resources\views\components\pagination.blade.php                               | PHP        |          1 |          0 |          0 |          1 |
| c:\OSPanel\domains\silerium\resources\views\home.blade.php                                                | PHP        |         67 |          0 |          2 |         69 |
| c:\OSPanel\domains\silerium\resources\views\pagination\custom.blade.php                                   | PHP        |         43 |          0 |          4 |         47 |
| c:\OSPanel\domains\silerium\resources\views\user\auth\login.blade.php                                     | PHP        |         44 |          0 |          2 |         46 |
| c:\OSPanel\domains\silerium\resources\views\user\auth\register.blade.php                                  | PHP        |         70 |          0 |          1 |         71 |
| c:\OSPanel\domains\silerium\resources\views\user\cart.blade.php                                           | PHP        |        124 |          0 |          2 |        126 |
| c:\OSPanel\domains\silerium\resources\views\user\editprofile.blade.php                                    | PHP        |         60 |          0 |          2 |         62 |
| c:\OSPanel\domains\silerium\resources\views\user\orders\editorder.blade.php                               | PHP        |         38 |          0 |          1 |         39 |
| c:\OSPanel\domains\silerium\resources\views\user\orders\ordershistory.blade.php                           | PHP        |         25 |          0 |          1 |         26 |
| c:\OSPanel\domains\silerium\resources\views\user\profile.blade.php                                        | PHP        |         51 |          0 |          0 |         51 |
| c:\OSPanel\domains\silerium\resources\views\user\review\editreview.blade.php                              | PHP        |         50 |          0 |          0 |         50 |
| c:\OSPanel\domains\silerium\resources\views\user\review\reviewproduct.blade.php                           | PHP        |         53 |          0 |          1 |         54 |
| c:\OSPanel\domains\silerium\resources\views\user\review\userreviews.blade.php                             | PHP        |         66 |          0 |          1 |         67 |
| c:\OSPanel\domains\silerium\rollup.config.js                                                              | JavaScript |         83 |          0 |          3 |         86 |
| c:\OSPanel\domains\silerium\routes\api.php                                                                | PHP        |          6 |         10 |          4 |         20 |
| c:\OSPanel\domains\silerium\routes\channels.php                                                           | PHP        |          5 |         10 |          4 |         19 |
| c:\OSPanel\domains\silerium\routes\console.php                                                            | PHP        |          6 |         10 |          4 |         20 |
| c:\OSPanel\domains\silerium\routes\web.php                                                                | PHP        |         39 |         10 |          9 |         58 |
| c:\OSPanel\domains\silerium\tests\CreatesApplication.php                                                  | PHP        |         12 |          5 |          6 |         23 |
| c:\OSPanel\domains\silerium\tests\Feature\ExampleTest.php                                                 | PHP        |         11 |          6 |          5 |         22 |
| c:\OSPanel\domains\silerium\tests\TestCase.php                                                            | PHP        |          7 |          0 |          4 |         11 |
| c:\OSPanel\domains\silerium\tests\Unit\ExampleTest.php                                                    | PHP        |         10 |          5 |          4 |         19 |
| c:\OSPanel\domains\silerium\vendor\spatie\ignition\resources\compiled\ignition.css                        | CSS        |          1 |          2 |          0 |          3 |
| c:\OSPanel\domains\silerium\vendor\spatie\ignition\resources\compiled\ignition.js                         | JavaScript |          6 |          0 |          1 |          7 |
| c:\OSPanel\domains\silerium\vite.config.js                                                                | JavaScript |         21 |          0 |          2 |         23 |
| Total                                                                                                     |            |     17,002 |      1,426 |        701 |     19,129 |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
